date_time,region,count
2015-06-25 03:20:00,Pays de la Loire,3
2015-06-25 03:24:00,Nord-Pas-de-Calais,1
2015-06-25 03:25:00,Basse-Normandie,1
2015-06-25 03:25:00,Nord-Pas-de-Calais,4
2015-06-25 03:25:00,Pays de la Loire,1
2015-06-25 03:27:00,le-de-France,6
2015-06-25 03:30:00,Basse-Normandie,1
2015-06-25 03:30:00,Bourgogne,1
2015-06-25 03:30:00,Bretagne,2
2015-06-25 03:30:00,Nord-Pas-de-Calais,7
2015-06-25 03:30:00,Pays de la Loire,2
2015-06-25 03:30:17,le-de-France,1
2015-06-25 03:30:21,Bretagne,1
2015-06-25 03:30:22,Nord-Pas-de-Calais,1
2015-06-25 03:35:00,Basse-Normandie,3
2015-06-25 03:35:00,Bretagne,5
2015-06-25 03:35:00,Nord-Pas-de-Calais,3
2015-06-25 03:35:00,Pays de la Loire,1
2015-06-25 03:40:00,Basse-Normandie,2
2015-06-25 03:40:00,Nord-Pas-de-Calais,2
2015-06-25 03:40:00,Pays de la Loire,1
2015-06-25 03:45:00,Basse-Normandie,1
2015-06-25 03:45:00,Bretagne,4
2015-06-25 03:45:00,Nord-Pas-de-Calais,2
2015-06-25 03:45:00,Pays de la Loire,3
2015-06-25 03:45:16,le-de-France,1
2015-06-25 03:45:20,Bretagne,1
2015-06-25 03:45:20,Nord-Pas-de-Calais,1
2015-06-25 03:49:00,Nord-Pas-de-Calais,2
2015-06-25 03:50:00,Bretagne,1
2015-06-25 03:50:00,Nord-Pas-de-Calais,2
2015-06-25 03:50:00,Pays de la Loire,5
2015-06-25 03:52:00,Picardie,1
2015-06-25 03:53:00,Nord-Pas-de-Calais,2
2015-06-25 03:55:00,Bretagne,1
2015-06-25 03:55:00,Nord-Pas-de-Calais,8
2015-06-25 03:56:00,Picardie,1
2015-06-25 03:57:00,Nord-Pas-de-Calais,3
2015-06-25 03:59:17,Picardie,1
2015-06-25 04:00:00,Basse-Normandie,1
2015-06-25 04:00:00,Bourgogne,3
2015-06-25 04:00:00,Centre-Val de Loire,1
2015-06-25 04:00:00,Nord-Pas-de-Calais,7
2015-06-25 04:00:00,Picardie,2
2015-06-25 04:00:18,le-de-France,1
2015-06-25 04:00:22,Bretagne,1
2015-06-25 04:00:23,Nord-Pas-de-Calais,1
2015-06-25 04:01:00,Pays de la Loire,6
2015-06-25 04:05:00,Bourgogne,1
2015-06-25 04:05:00,Bretagne,3
2015-06-25 04:05:00,Centre-Val de Loire,1
2015-06-25 04:05:00,Pays de la Loire,2
2015-06-25 04:06:00,Picardie,1
2015-06-25 04:10:00,Pays de la Loire,3
2015-06-25 04:12:00,Picardie,1
2015-06-25 04:13:33,Picardie,1
2015-06-25 04:15:00,Basse-Normandie,2
2015-06-25 04:15:00,Nord-Pas-de-Calais,3
2015-06-25 04:15:00,Pays de la Loire,2
2015-06-25 04:15:16,le-de-France,1
2015-06-25 04:15:20,Bretagne,1
2015-06-25 04:15:21,Nord-Pas-de-Calais,1
2015-06-25 04:17:00,Nord-Pas-de-Calais,1
2015-06-25 04:20:00,Pays de la Loire,9
2015-06-25 04:21:00,Pays de la Loire,3
2015-06-25 04:22:00,Nord-Pas-de-Calais,5
2015-06-25 04:25:00,Bretagne,2
2015-06-25 04:25:00,Centre-Val de Loire,1
2015-06-25 04:25:00,Pays de la Loire,4
2015-06-25 04:29:00,Nord-Pas-de-Calais,2
2015-06-25 04:30:00,Nord-Pas-de-Calais,5
2015-06-25 04:30:00,Pays de la Loire,2
2015-06-25 04:30:15,le-de-France,1
2015-06-25 04:30:19,Bretagne,1
2015-06-25 04:30:20,Nord-Pas-de-Calais,1
2015-06-25 04:34:54,Nord-Pas-de-Calais,1
2015-06-25 04:34:57,Nord-Pas-de-Calais,1
2015-06-25 04:35:00,Basse-Normandie,4
2015-06-25 04:35:00,Centre-Val de Loire,1
2015-06-25 04:35:00,Nord-Pas-de-Calais,1
2015-06-25 04:35:00,Pays de la Loire,1
2015-06-25 04:36:00,Pays de la Loire,32
2015-06-25 04:37:00,Nord-Pas-de-Calais,1
2015-06-25 04:40:00,Basse-Normandie,1
2015-06-25 04:40:00,Bourgogne,1
2015-06-25 04:40:00,Bretagne,1
2015-06-25 04:40:00,Centre-Val de Loire,3
2015-06-25 04:40:00,Nord-Pas-de-Calais,5
2015-06-25 04:40:00,Pays de la Loire,1
2015-06-25 04:41:00,Picardie,1
2015-06-25 04:43:17,Nord-Pas-de-Calais,1
2015-06-25 04:45:00,Basse-Normandie,4
2015-06-25 04:45:00,Bourgogne,5
2015-06-25 04:45:00,Nord-Pas-de-Calais,3
2015-06-25 04:45:00,Pays de la Loire,2
2015-06-25 04:45:16,le-de-France,1
2015-06-25 04:45:20,Bretagne,1
2015-06-25 04:45:21,Nord-Pas-de-Calais,1
2015-06-25 04:48:00,Nord-Pas-de-Calais,2
2015-06-25 04:49:00,Nord-Pas-de-Calais,1
2015-06-25 04:50:00,Bourgogne,1
2015-06-25 04:50:00,Bretagne,3
2015-06-25 04:50:00,Nord-Pas-de-Calais,3
2015-06-25 04:50:00,Pays de la Loire,1
2015-06-25 04:51:00,Nord-Pas-de-Calais,1
2015-06-25 04:51:00,Picardie,1
2015-06-25 04:52:00,Nord-Pas-de-Calais,1
2015-06-25 04:52:00,Picardie,1
2015-06-25 04:53:00,Nord-Pas-de-Calais,1
2015-06-25 04:53:34,Picardie,1
2015-06-25 04:53:41,Picardie,1
2015-06-25 04:53:42,Picardie,1
2015-06-25 04:55:00,Bourgogne,1
2015-06-25 04:55:00,Bretagne,2
2015-06-25 04:55:00,Nord-Pas-de-Calais,2
2015-06-25 04:55:00,Pays de la Loire,1
2015-06-25 04:56:00,Pays de la Loire,1
2015-06-25 05:00:00,Basse-Normandie,4
2015-06-25 05:00:00,Bourgogne,6
2015-06-25 05:00:00,Bretagne,6
2015-06-25 05:00:00,Centre-Val de Loire,3
2015-06-25 05:00:00,Nord-Pas-de-Calais,38
2015-06-25 05:00:00,Pays de la Loire,9
2015-06-25 05:00:00,Picardie,6
2015-06-25 05:00:16,le-de-France,1
2015-06-25 05:00:20,Bretagne,1
2015-06-25 05:00:20,Nord-Pas-de-Calais,1
2015-06-25 05:01:00,Nord-Pas-de-Calais,3
2015-06-25 05:02:00,Nord-Pas-de-Calais,5
2015-06-25 05:02:40,Rhone-Alpes,2
2015-06-25 05:03:00,Centre-Val de Loire,1
2015-06-25 05:03:00,Nord-Pas-de-Calais,3
2015-06-25 05:04:00,Nord-Pas-de-Calais,2
2015-06-25 05:04:11,Picardie,1
2015-06-25 05:05:00,Basse-Normandie,1
2015-06-25 05:05:00,Bourgogne,2
2015-06-25 05:05:00,Bretagne,10
2015-06-25 05:05:00,Nord-Pas-de-Calais,7
2015-06-25 05:05:00,Pays de la Loire,41
2015-06-25 05:05:23,Picardie,1
2015-06-25 05:06:00,Bourgogne,1
2015-06-25 05:06:00,Nord-Pas-de-Calais,3
2015-06-25 05:06:40,Rhone-Alpes,8
2015-06-25 05:07:00,Nord-Pas-de-Calais,2
2015-06-25 05:07:00,Picardie,1
2015-06-25 05:08:00,Picardie,1
2015-06-25 05:09:00,Nord-Pas-de-Calais,5
2015-06-25 05:10:00,Basse-Normandie,1
2015-06-25 05:10:00,Bourgogne,3
2015-06-25 05:10:00,Bretagne,1
2015-06-25 05:10:00,Nord-Pas-de-Calais,15
2015-06-25 05:10:00,Pays de la Loire,2
2015-06-25 05:11:00,Nord-Pas-de-Calais,1
2015-06-25 05:12:00,Nord-Pas-de-Calais,2
2015-06-25 05:13:00,Bourgogne,1
2015-06-25 05:13:00,Nord-Pas-de-Calais,2
2015-06-25 05:14:00,Nord-Pas-de-Calais,2
2015-06-25 05:14:00,Picardie,1
2015-06-25 05:15:00,Bourgogne,1
2015-06-25 05:15:00,Bretagne,2
2015-06-25 05:15:00,Centre-Val de Loire,1
2015-06-25 05:15:00,Nord-Pas-de-Calais,12
2015-06-25 05:15:00,Pays de la Loire,1
2015-06-25 05:15:16,le-de-France,1
2015-06-25 05:15:20,Bretagne,1
2015-06-25 05:15:21,Nord-Pas-de-Calais,1
2015-06-25 05:16:00,Nord-Pas-de-Calais,5
2015-06-25 05:16:44,Rhone-Alpes,5
2015-06-25 05:17:00,Nord-Pas-de-Calais,1
2015-06-25 05:17:51,Picardie,1
2015-06-25 05:18:00,Nord-Pas-de-Calais,4
2015-06-25 05:19:00,Nord-Pas-de-Calais,3
2015-06-25 05:20:00,Basse-Normandie,1
2015-06-25 05:20:00,Bourgogne,3
2015-06-25 05:20:00,Nord-Pas-de-Calais,13
2015-06-25 05:20:00,Pays de la Loire,7
2015-06-25 05:20:00,Picardie,2
2015-06-25 05:21:00,Nord-Pas-de-Calais,3
2015-06-25 05:22:00,Nord-Pas-de-Calais,1
2015-06-25 05:22:33,Picardie,1
2015-06-25 05:23:00,Centre-Val de Loire,3
2015-06-25 05:23:00,Nord-Pas-de-Calais,4
2015-06-25 05:24:00,Nord-Pas-de-Calais,13
2015-06-25 05:24:37,Rhone-Alpes,2
2015-06-25 05:25:00,Bretagne,1
